Time_Stamps,Upvote Ratio,Author,Score,Number of Comments,Comment
2023-10-12 02:00:08,0.96,SkylarMLO,21,7,The frosted blue looks better to the naked eye than in the photos
2023-10-12 07:29:50,1.0,vinaylovestotravel,1,1,Some iPhone Models Are Mysteriously Turning Themselves Off At Night
2023-10-11 21:28:23,0.86,Miserable_Impact_431,5,2,Iphone 15
2023-10-11 00:51:24,0.9,,127,94,Update: Thanks for affirming my regrets! Returned the yellow and bought the blue.
2023-10-11 23:24:37,1.0,Cr1msonZ,1,0,Dimming
2023-10-11 19:33:16,1.0,Flucky_,2,1,Did Apple fix the wireless charging issue?
2023-10-11 18:55:24,1.0,sticky__toffee,2,1,I know nothing go about software development but a question on the side notch/silent button.
2023-10-11 11:55:06,0.84,alex9005,4,14,How much storage did you go for on your iPhone 15/15 Plus ?
2023-10-11 18:13:32,0.5,BigBrandyy,0,11,What wall adaptor should I use with the stock iPhone 15 plus box USB C cable??
2023-10-10 21:02:17,1.0,rollmefurtherbtch,40,14,Night sky shots with a tripod
2023-10-11 08:18:57,0.86,jochelu,5,2,CarPlay iPhone 15 fail
2023-10-11 05:42:38,1.0,Ghostek-Official,8,3,iPhone 15 Pro Max - Titanium Blue
2023-10-11 16:12:22,0.55,Joshman1231,1,21,This new iOS 17.0.3 bricked my phone
2023-10-11 01:03:01,0.95,Admirable-Gas-7876,16,7,iPhone 15 Pro Max - Natty
2023-10-11 06:07:42,1.0,natoushh121,6,3,iPhone 15 Charging Issue
2023-10-10 14:32:16,0.87,alex9005,102,38,This is one good looking phone
2023-10-11 13:28:50,1.0,KristopherJC,1,2,Charging stand that works with case?
2023-10-10 12:12:41,0.86,,58,98,iPhone 15 base yellow - regret?
2023-10-10 17:35:44,0.88,el_chupacapramk,6,2,Non Pro Battery Performance after iOS 17.0.3
2023-10-10 13:14:38,0.91,Material_Position723,9,11,iPhone 15 Plus heat
2023-10-10 12:42:44,0.5,Mathias0910,0,2,History of the iPhone 2007-2023
2023-10-09 16:33:13,0.82,Tatethegamer9yt,25,152,"iPhone 15 users, how’s it going?"
2023-10-10 09:52:20,0.6,Severe_Bumblebee2088,1,5,Optimisation of 15Pro
2023-10-09 20:40:24,0.91,erieberry,8,2,Hot base 15 after update
2023-10-10 06:26:08,1.0,pietroSV,1,0,iPhone Cleaning Set
2023-10-10 00:34:50,1.0,HelloS0n,1,6,No vibration for texts?
2023-10-09 20:05:30,1.0,daminou28,2,4,iPhone 15 bought in Australia works in Europe?
2023-10-09 14:35:27,1.0,ffjones54,6,9,iPhone 15 Pro Max lost in shipping
2023-10-09 13:42:34,0.86,FugenOnCrack,5,8,Iphone15 Issues
2023-10-09 16:46:08,1.0,sslithissik,2,8,Always on (15 Pro) doesn't ever shut off. (I think it did before.)
2023-10-09 11:16:41,1.0,leomosread,5,3,From S21 FE to iPhone 15
2023-10-09 09:48:37,0.86,Pimalai,5,22,Cases that don't add bulk and actually provide good phone protection
2023-10-09 09:44:51,0.63,AdRepresentative131,2,7,Is it worth it? Xiaomi vs Iphone
2023-10-08 20:41:37,1.0,engineergurl88,9,17,15 Pro Top Heavy?
2023-10-09 06:51:53,0.6,anassafarini,1,3,Iphone screen protector
2023-10-09 00:21:30,0.71,lukapone,3,15,Is the FineWoven case actually bad?
2023-10-08 20:55:25,0.78,Miyake_tech,5,38,Regular iPhone with no case
2023-10-08 20:23:25,0.86,Relative_Resource_31,5,1,iPhone 15 Plus
2023-10-09 12:59:59,0.29,rm21399,0,51,iPhone 15 pro or wait for 16 pro
2023-10-08 15:45:16,1.0,Milk_Savings,3,9,Can't transfer data from iPhone 12 to 15
2023-10-08 20:02:56,0.25,FrederickJones7,0,0,Find the iPhone 15 accessories you're looking for.
2023-10-08 03:19:03,1.0,AEM_High,4,1,Heat Issues post Software Parch?
2023-10-08 10:12:54,0.55,Time_Technician_2339,1,48,Do any of you also have “fear of missing out”..
2023-10-09 00:00:57,0.06,NoLoveValley,0,19,Bought an IPhone 15 from this random shopify page. risky but they actually delivered it lol
2023-10-07 15:09:24,0.76,OmegaXesis,13,42,I just ordered an Iphone 15+ and I realized I don't have a usb-c compatible charging block. Need advice should I invest in a good charging block or go with magsafe chargers? My last phone was a 7+
2023-10-07 18:00:26,1.0,ExpectoPatronummmmm,5,13,iphone 14 pro or 15 pro
2023-10-07 06:22:52,0.86,Ghostek-Official,25,11,iPhone 15 Pro Max - Blue Titanium
2023-10-07 03:35:04,0.89,WhenMaytemberEnds,21,73,Will 128gb be enough for casual use?
2023-10-07 18:12:27,0.5,Upper-Try6742,0,1,Apple iPhone 15 pro max 1tb white
2023-10-07 12:37:49,1.0,UncommonGrow,2,2,Face ID issue
2023-10-07 02:26:01,0.82,Westosaurus,10,5,Limited Edition “Inverted Red” Lock Screen Wallpaper
2023-10-07 14:41:19,1.0,VCAPM,1,0,Trouble syncing default iPhone calendar with Google Calendar
2023-10-07 06:17:55,0.75,Dependent_Shape_1655,4,7,Iphone 15 pro max shipping delayed?
2023-10-07 10:00:01,0.75,l0v3tt,2,9,Iphone15 Promotions
2023-10-06 16:07:15,0.86,Imaginary_Network639,10,20,Should I upgrade?
2023-10-06 15:41:20,0.75,Ok-Tomato-8184,4,20,Apple says goodbye to Leather for the iPhone 15. Dbrand doesn't
2023-10-05 21:12:56,1.0,kxu231,45,11,14 Plus leather case fits 15 Plus!
2023-10-06 05:47:21,1.0,drxw,6,4,iPhone 15 Pro running really slowly on data and WiFi
2023-10-05 19:56:55,0.91,Sufficient-Studio-24,26,37,Should I buy the iphone 15 plus?
2023-10-06 07:22:09,1.0,l0v3tt,2,5,iphone Help
2023-10-06 10:57:57,0.5,pietroSV,0,0,Magsafe Wireless Charging Holder
2023-10-06 10:55:53,0.5,pietroSV,0,0,iPhone X to 15 Magsafe Case Magnetic Wallet Holder
2023-10-06 04:00:29,1.0,lendmesumsugar1,3,7,Which 15 model should I get?
2023-10-06 09:25:46,1.0,IcyDroidPack,1,0,SwiftLocker: Hide your private Photos & Videos
2023-10-06 05:30:30,1.0,GreenRaven-593,1,1,"Coming from Android, which model should I get"
2023-10-05 20:43:53,1.0,h15h1,4,0,iPhone 15 camera shaking while filming in low light
2023-10-05 17:05:32,0.33,Kloizon,0,8,Any 15 Pro Max availability in Austin
2023-10-05 13:04:34,0.75,thisecholife,2,7,Looking to Upgrade
2023-10-05 07:34:18,0.63,kenzosanden_,2,10,What features require a 256gb storage?
2023-10-04 19:02:25,0.94,Itslashae,29,26,iPhone 15plus is so light weight !
2023-10-04 18:55:14,0.94,shainanichole,25,32,14 Pro to 15 Plus
2023-10-05 15:22:58,0.25,FrederickJones7,0,0,iPhone Action Button on iPhone 15 Pro and iPhone 15 Pro Max
2023-10-04 01:36:37,0.92,Bradbeatty7,314,142,New 15 Pro Max
2023-10-05 04:45:07,0.75,jacobhu321,2,1,Case and Screen Protector Recommendations!
2023-10-05 06:21:38,0.5,SkylarMLO,0,9,What are the most durable cases I can buy for my parents?
2023-10-05 02:22:19,0.75,alley_cat17,2,9,Cute but protective case recommendations?
2023-10-04 15:18:18,0.95,Early-Ad5047,14,8,Anyone else still waiting to get their phones delivered?
2023-10-04 20:26:06,1.0,marcz52,5,7,Best iPhone 15 color???
2023-10-05 00:33:28,0.66,-BWX-,1,0,iPhone 15 Pro Max Zoom Video of Hawk Flying
2023-10-04 15:30:53,0.69,Ferrerabear,5,30,Should I Upgrade?
2023-10-05 00:02:36,0.5,crazylittlebitch87,0,1,iPhone 15 plus : UAG Monarch pro vs OtterBox ? Please suggest
2023-10-04 14:45:04,0.75,AnnewithaZee,6,73,"Guys, iphone 15 - pink or yellow?"
2023-10-04 17:17:44,0.83,Time_Technician_2339,4,15,Should i upgrade?
2023-10-04 18:35:50,1.0,incomecsm,2,1,iOS 17.0.3 - iPhone Overheating FIX (Latest Update!)
2023-10-04 06:14:53,1.0,vinaylovestotravel,3,0,iPhone 15 Owners Warned Against Using BMW Wireless Chargers
2023-10-03 10:22:10,0.94,robjoko,96,50,Wife and I both got our new phones in the mail over the weekend. She picked the green one and honestly in person it looks amazing🍏
2023-10-04 10:03:48,0.67,emibebi,1,7,Upgrading to 15 Pro Max from IPhone 11
2023-10-03 16:13:45,0.87,unanau,22,57,Which case is better? Apple silicone or Otterbox symmetry?
2023-10-03 23:06:41,0.75,Fabulous_Respond2047,2,3,Best screen protector for iPhone 15 pro max and Peak design case
2023-10-03 17:45:22,0.78,arbiyanews,5,1,iPhone 15 owners angry because it malfunctioned when charging wirelessly in a BMW
2023-10-03 14:28:33,1.0,Traffe_King,5,1,NFC reader not working
2023-10-03 18:23:10,1.0,Imchristina_,2,9,iPhone 15 battery
2023-10-03 18:06:19,0.75,Aggravating-Tiger380,2,9,iPhone 15 car play cable suggestions?
2023-10-03 12:21:38,0.99,Rogu3_T3ch,6,15,14 Pro vs 15 Plus
2023-10-03 12:35:13,0.8,DNoo56,3,4,Whatsapp mic issue
2023-10-03 15:23:03,1.0,MarvFK,1,4,iPhone 15 Pro Max battery life improvement after 1 week
2023-10-03 04:35:50,0.83,MeMyselfAndMe_Again,4,18,My 15 Pro order has been delayed...again!
2023-10-02 15:09:13,0.98,Potential-Ad-5886,39,9,"15 plus, winter blue & midnight leather,"
2023-10-03 06:47:04,1.0,paranoidevil,2,11,Charging with 5w
2023-10-03 06:21:19,1.0,alex3delarge,2,3,iPhone 15 battery
2023-10-03 05:31:30,0.56,MKRmartin,1,21,Iphone 12 Pro to regular 15
2023-10-03 06:09:59,1.0,gourdo,1,5,Anyone else seeing 20W Magsafe charging on 15 Pro?
2023-10-02 23:25:59,0.72,bhawks77,3,8,Thoughts on safari?
2023-10-02 17:16:31,1.0,USTody,8,2,iPhone 15 Users Complain About Not Being Able to Charge Their Phones with a Powerbank! (Powerbank Charges Instead of the Phone)
2023-10-02 21:36:43,1.0,betinaloevera,3,2,MagSafe phone ring holder/pop socket recs
2023-10-02 16:29:41,0.84,Rogu3_T3ch,4,6,iPhone 15 Availability at Apple Stores
2023-10-02 23:46:23,1.0,KristopherJC,1,2,Rokform case wireless charging stand issue
2023-10-02 14:36:51,1.0,Soft-Honeydew3002,4,9,Black screen on iPhone 15 pro
2023-10-01 20:45:44,0.94,Similar-Ad6810,95,23,Got the last 15 pink in the store for my GF. She is so hyped
2023-10-02 07:09:45,0.72,GoogleGenius,3,8,Does the regular iPhone 15 have thinner bezels compared to the regular 14 or even 13?
2023-10-02 17:44:23,0.44,baiooe,0,20,the 15 pm camera sucked
2023-10-02 06:23:33,0.67,ShenTchami,2,6,"Got my iphone 15 few days ago and I bought really tight case for it. It’s really hard taking it off so I’m wondering do you guys have some advice for taking off really tight cases. Also, I couldn’t have bend it already just by applying some pressure? I know it’s crazy but just got this beauty 😅"
2023-10-02 07:52:41,0.67,ul131web,1,1,Tesla Unlock with iPhone 15 Action Button #iphone15
2023-10-02 06:57:45,0.67,rahulnautiyal3,1,11,Confusion about usb c cable
2023-10-01 19:32:11,1.0,moxie-girl,9,28,black or pink? (base 15)
2023-10-02 09:24:19,0.38,TwoCables_from_OCN,0,15,Another reason you may want to get iPhone 15 Pro or Pro Max instead
2023-10-02 01:21:57,1.0,The_Mick,2,5,Cycle count
2023-10-01 16:13:49,1.0,annieblink182,9,27,iPhone 15 in pink
2023-10-01 19:55:49,0.83,OhioMurb,4,26,I preordered but are there 15s just sitting at Apple Store to buy?
2023-10-01 14:57:15,0.91,TigerMan_ac,9,31,iphone 15 of iphone 15 pro
2023-10-01 22:28:39,0.75,BingChilling679,2,6,Has Anyone Else Noticed Terrible Front Camera Quality?
2023-10-02 01:47:38,0.67,Dangerous_Aardvark15,1,10,upgrade to iphone15?
2023-10-01 22:18:47,0.67,JimBoy1804,1,14,iPhone 14 pro va iPhone 15
2023-10-01 17:41:44,1.0,KingHanma,1,8,Base variant iPhone 15 modem
2023-10-01 08:49:22,0.69,edgarskates,6,16,iPhone 15 pro vs 15 pro max?
2023-10-01 05:53:44,1.0,CarolAllex,6,2,Apple Identifies Issues Causing Overheating In iPhone 15
2023-10-01 08:42:30,1.0,Boltzman_,2,6,StandBy mode does not make sense
2023-10-01 05:42:47,0.71,Practical_Object_342,3,4,Screen looks really yellow
2023-10-01 10:54:10,1.0,Dry-Rate-4092,1,0,iPhone 15 Pro Vs iPhone 5S Cameras 🤯⭐️
2023-09-30 23:24:17,0.86,getts32,5,5,Can anyone else not hear alerts???
2023-10-01 05:09:41,0.67,qqasdfzz,1,9,"Just copped a 15ProMax, anyone able to recommend a decent magsafe wallet?"
2023-10-01 03:08:10,1.0,kylog,1,5,New iphone 15 during activation wrong phone number
2023-09-30 21:02:45,1.0,goro-n,3,2,"Apple iPhone 15, iPhone 15 Overheating Exclusive: Apple Comments"
2023-09-30 17:12:20,0.88,ShootBurners,6,23,iPhone 14 Case on iPhone 15
2023-09-30 23:02:02,1.0,sereza1,2,10,anyone who has the 14p and either the 15 or 15p please help!
2023-09-30 22:58:40,1.0,Allinhalf,2,0,iPhone 15 Pro's Top Picks
2023-09-30 19:09:05,0.61,Time_Technician_2339,3,41,How should i buy it
2023-09-30 21:09:37,1.0,can_wrap,2,1,15 Pro external storage for photo album viewing and easy photo transfer?
2023-09-30 14:59:34,1.0,USTody,6,13,iPhone 15 users are complaining about CarPlay not working after transitioning to Type-C
2023-09-30 20:11:42,1.0,crnigorac,2,7,iPhone 15 eSIM
2023-09-30 20:10:12,1.0,AegMacro,2,7,Iphone 15 pro max wait times
2023-09-30 16:05:22,1.0,ChooseYourMobile,4,0,iPhone 15 vs Samsung S23 Comparison | Price and Specs
2023-09-30 20:47:40,1.0,deanpsn,1,0,PITAKA Remix Case Concept
2023-09-30 20:47:33,0.67,ZacB_,1,3,UK iPhone 15 has no CE safety markings?
2023-09-30 15:10:20,1.0,TheShepherdGazes,2,1,Sound/Speaker
2023-09-29 19:49:51,0.81,TheCrazyDEJV,9,11,Took a photo of my friends car
2023-09-29 17:10:55,0.93,SublimeStrawberries,13,7,AT&T told me 2-3 weeks came the next day ‼️
2023-09-29 21:43:48,1.0,AC31SBACK,5,5,iPhone 15
2023-09-29 22:42:08,0.81,averagealexxx,3,8,Anyone here upgrade from the 13pro to 15 pro?
2023-09-29 07:08:39,0.85,bontrager77psi,70,86,"Traded in my iPhone 14 pro for the iPhone 15 (regular, not the pro model)"
2023-09-30 05:18:13,0.67,general_Purple134,1,5,Iphone 15 price in Kuwait
2023-09-30 16:55:59,0.07,loved2705,0,15,I want to join the gang so badly
2023-09-29 22:10:29,1.0,ReceptionWorking399,2,3,Airpods wont Connect
2023-09-29 21:15:18,1.0,TNTomato,2,2,What’s the maximum charging rate of the iPhone 15 (non-Pro)?
2023-09-29 19:43:00,0.75,Legitimate_investor1,2,1,Best deal to go from iPhone 12 to iPhone 15.
2023-09-29 22:56:53,0.5,ocraig1,0,2,Matte back finish absolutely disappointing
2023-09-29 22:13:14,1.0,ExpectoPatronummmmm,1,2,Pro features
2023-09-29 11:22:51,0.8,annienhatanh,6,21,13mini to 15? Should I go with the non-pro?
2023-09-29 16:20:31,1.0,gsbuah,2,1,Does the iPhone 15 have actions mode (video)
2023-09-29 18:15:05,1.0,Available-Fault-4717,1,1,"iPhone 15 cannot setup , freezes ?"
2023-09-29 18:06:16,1.0,Rare_Quiet_4399,1,2,iPhone 15 Aux problem
2023-09-29 17:42:11,1.0,thaisalvesbr,1,2,14Pro screen protector on 15 basic?
2023-09-29 11:13:44,0.8,wooyeon-,3,12,Heating issue
2023-09-29 12:22:18,1.0,PerformanceLittle274,2,3,Is iPhone 15 compatible with iPhone 13 tempered glass ?
2023-09-30 08:51:45,0.04,Ready-Marionberry-90,0,16,Got 15 pro 4 days ago. Put it in the drawer and left it there ever since.
2023-09-29 06:49:00,1.0,tommydab710,6,6,14 pro max vs. 15 pro max.
2023-09-28 15:21:46,0.75,alex9005,73,136,Picked up the blue iPhone 15 today as well as the blue FineWoven case. What do you think?
2023-09-29 03:45:27,1.0,illegalshidder,6,7,What MagSafe battery are you using?
2023-09-29 07:37:25,0.67,Aggressive-Local1668,1,2,Question
2023-09-29 02:44:57,1.0,TPM_521,2,9,Thoughts on these case options?
2023-09-28 19:35:11,0.64,Kore0007,6,11,Overheating iPhone 15 Pro
2023-09-28 22:41:03,0.67,UteForLife,2,3,Does the iPhone 15/15 Plus have Lidar?
2023-09-28 23:42:36,1.0,InfiniteReveal6841,2,3,Still not receiving texts.
2023-09-29 02:49:44,0.67,Radiant-Ad-3907,1,2,Looking to exchange iPhone 15 Pro Max Black with Natural Titanium
2023-09-28 20:24:20,0.63,techy010101,2,15,iPhone 15 (256gb)base heating up
2023-09-28 18:27:44,0.54,RyanHmu14,1,47,Should I buy 15 or 15 pro?
2023-09-27 16:47:57,0.91,Mandar00k,110,97,15 is absolutely crazy for a base iPhone
2023-09-28 16:23:24,0.53,Playful-Coffee-5894,1,31,"I’ve had the iPhone 13 Pro & it’s extremely disappointing to me that the base model 15s still run on 60hz. Kinda would like some non YouTube opinions, for any of those having used Pro models.. Would you ever go back to any non pro versions?"
2023-09-28 11:55:21,0.75,robjoko,2,33,Any updates for 15PM overheating issue yet?
2023-09-28 03:31:09,0.91,sanemate,9,24,15 vs 15 Plus dilemma
2023-09-28 00:18:13,0.86,RawlsEnterprises,5,0,"Recording ProRes video directly to a ""Micro SD Card"" with the iPhone 15 Pro"
2023-09-27 17:31:07,0.92,memezgalorz,20,28,iphone 15 pro gets extremely hot and drains battery when on a call.
2023-09-28 00:33:47,0.62,EntertainmentOk4802,4,39,My girlfriend thinks it’s weird I chose the pink iPhone over the other colors. Idk I think she’s just jealous and probably going to break it off soon with her anyway.
2023-09-28 02:18:27,0.75,jeffvos,2,3,"Frustrated I can’t finance an iPhone 15 outside of Verizon, because I’m a Business Customer"
2023-09-27 09:14:11,0.96,paranoidevil,35,19,"15 regular review (battery, usage)"
2023-09-28 06:00:08,0.25,Dry-Rate-4092,0,0,iPhone 15 Pro - NOT what iExpected😵‍💫!!
2023-09-28 01:30:13,1.0,Y8fKZyZrSn,1,3,UPS app not working on 15 pro.
2023-09-27 20:44:22,1.0,Best_Kitchen_7456,2,1,Power bank cable to charge iphone 15 (not the cable that comes with the phone)
2023-09-28 00:21:15,0.4,nickyurbz,0,1,Belkin Screen Protector from the Apple Store….
2023-09-27 04:26:20,1.0,chiefarab,16,1,PSA: Change your Haptic Touch duration to fast!
2023-09-27 11:37:10,0.83,Suhorang,4,10,Switched from Android to IPhone 15 regular. Should I get the plus variant?
2023-09-27 10:10:59,0.81,Cheesemeyo,3,2,When plugging in to charge when locked the screen looks like this
2023-09-27 04:33:23,0.79,TiltedWeenies,8,6,"TIL, iPhone 14 Leather Cases fit the 15."
2023-09-27 14:33:06,1.0,davejdesign,1,4,Incoming text messages not giving sound alert on lock screen
2023-09-27 02:29:42,0.85,TPM_521,9,6,Positive energy for my 15P/PM folks
2023-09-27 08:32:14,0.75,ExpectoPatronummmmm,2,5,iPhone 15 pro gets hot
2023-09-27 04:38:17,1.0,rkaria1970,3,2,iPhone 15 PM vs 15 Plus displays?
2023-09-26 20:29:13,0.82,apmass1,10,55,How is your guy’s experience with the 15?
2023-09-27 00:52:33,1.0,PSPersuasion,3,0,Cropping Issues?
2023-09-27 06:35:50,0.5,Felix1776,0,16,The iPhone gets hot
2023-09-27 02:33:29,1.0,Mammoth_Paper_287,2,1,Can Regular iPhone 15 record videos to External SSD?
2023-09-26 21:18:48,1.0,trueoriginal,6,7,Base or Pro? Upgrading from 12 Mini
2023-09-27 19:31:47,0.25,BedsRoom,0,51,Just gonna leave this here for those who decided to go 14 pro to any of the 15..
2023-09-27 04:51:23,1.0,PlayfulLow7367,1,0,iPhone 15 earspeaker issues?
2023-09-26 20:32:37,0.75,ExpectoPatronummmmm,4,30,iPhone 15 Pro or 15 plus?
2023-09-26 14:12:51,0.78,prplpanth,10,7,iPhone 15 Pro Max is the best iPhone yet
2023-09-26 19:21:25,0.67,AndroidLover10101,2,6,Can I get an iPhone 15 with a SIM slot in the US?
2023-09-26 03:58:04,0.7,AstrosEcho,29,146,i regret buying the 15 pro
